Country,CountryCode,FDI,energy,trees,CO2aggregate,export,trade,import,GDP,Fuelimports,CO2
Colombia,COL,4.329539104,30.72,53.48463272,81040.00092,15.86803865,28.53273817,21.69049533,1.796283366,8.658165196,1.609870831
Comoros,COM,0.359894023,53.43,17.92584632,319.9999928,12.77346063,25.43891417,29.4946179,-0.459940494,5.199102291,0.376076363
Cabo Verde,CPV,4.532841978,22.19,11.27047146,649.9999762,50.64929202,43.29297596,65.25786357,4.481830156,11.96636817,1.181955675
Costa Rica,CRI,4.220940195,35.76,59.11672542,8239.999771,34.32532156,45.46112885,31.43520846,1.441173774,10.20154218,1.632471558
Cyprus,CYP,163.0435573,12.05,18.67424242,7190.000057,75.59384876,48.83851723,75.38046708,3.864533601,18.79528705,5.998795283
Czechia,CZE,4.258298877,15.85,34.65141732,96290.00092,73.89445332,149.7702761,67.90472697,2.624557435,0,9.022786158
Germany,DEU,1.843457695,17.17,32.68267552,657400.0244,46.62423885,70.04015218,40.97542718,0.827864779,8.488851474,7.911621016
Djibouti,DJI,5.665500402,27.92,0.245901639,419.9999869,166.7177464,263.3339404,154.2212566,3.958631359,0,0.431407701
Denmark,DNK,-1.093831002,37.52,15.6875,29700.00076,58.99933497,60.16721954,51.60746894,1.749614095,6.496456993,5.107988509
Dominican Republic,DOM,3.180974427,13.98,44.21465535,27229.99954,23.06928204,35.37276844,27.94186288,3.958404175,18.01431459,2.535627952
Algeria,DZA,0.804110687,0.16,0.81411035,171250,22.71346191,45.26935746,29.1282528,-0.934555885,0,3.977650459
Ecuador,ECU,0.901430435,17.73,50.58020615,39290.00092,23.0483673,41.52606307,23.02845389,-1.653249634,19.40367173,2.261469817
"Egypt, Arab Rep.",EGY,2.972836963,5.3,0.045185594,249369.9951,17.50061066,32.9654595,25.73983954,3.492046874,13.80993614,2.484059911
Spain,ESP,1.777333002,17.27,37.16772156,239979.9957,34.95465595,50.73543535,32.02467102,1.355133045,13.30763942,5.09135092
Estonia,EST,9.866417057,31.29,57.03859649,10180.00031,74.04658613,109.9222082,69.89052473,3.713646751,13.22181674,7.672277909
