SNo,Date,Covid Status
2277,3/26/2016,0
2278,3/27/2016,0
2279,3/28/2016,0
2280,3/29/2016,0
2281,3/30/2016,0
2282,3/31/2016,0
2283,4/1/2016,0
2284,4/2/2016,0
2285,4/3/2016,0
2286,4/4/2016,0
2287,4/5/2016,0
2288,4/6/2016,0
2289,4/7/2016,0
2290,4/8/2016,0
2291,4/9/2016,0
2292,4/10/2016,0
2293,4/11/2016,0
2294,4/12/2016,0
2295,4/13/2016,0
2296,4/14/2016,0
2297,4/15/2016,0
2298,4/16/2016,0
2299,4/17/2016,0
2300,4/18/2016,0
2301,4/19/2016,0
2302,4/20/2016,0
2303,4/21/2016,0
2304,4/22/2016,0
2305,4/23/2016,0
2306,4/24/2016,0
2307,4/25/2016,0
2308,4/26/2016,0
2309,4/27/2016,0
2310,4/28/2016,0
2311,4/29/2016,0
2312,4/30/2016,0
2313,5/1/2016,0
2314,5/2/2016,0
2315,5/3/2016,0
2316,5/4/2016,0
2317,5/5/2016,0
2318,5/6/2016,0
2319,5/7/2016,0
2320,5/8/2016,0
2321,5/9/2016,0
2322,5/10/2016,0
2323,5/11/2016,0
2324,5/12/2016,0
2325,5/13/2016,0
2326,5/14/2016,0
2327,5/15/2016,0
2328,5/16/2016,0
2329,5/17/2016,0
2330,5/18/2016,0
2331,5/19/2016,0
2332,5/20/2016,0
2333,5/21/2016,0
2334,5/22/2016,0
2335,5/23/2016,0
2336,5/24/2016,0
2337,5/25/2016,0
2338,5/26/2016,0
2339,5/27/2016,0
2340,5/28/2016,0
2341,5/29/2016,0
2342,5/30/2016,0
2343,5/31/2016,0
2344,6/1/2016,0
2345,6/2/2016,0
2346,6/3/2016,0
2347,6/4/2016,0
2348,6/5/2016,0
2349,6/6/2016,0
2350,6/7/2016,0
2351,6/8/2016,0
2352,6/9/2016,0
2353,6/10/2016,0
2354,6/11/2016,0
2355,6/12/2016,0
2356,6/13/2016,0
2357,6/14/2016,0
2358,6/15/2016,0
2359,6/16/2016,0
2360,6/17/2016,0
2361,6/18/2016,0
2362,6/19/2016,0
2363,6/20/2016,0
2364,6/21/2016,0
2365,6/22/2016,0
2366,6/23/2016,0
2367,6/24/2016,0
2368,6/25/2016,0
2369,6/26/2016,0
2370,6/27/2016,0
2371,6/28/2016,0
2372,6/29/2016,0
2373,6/30/2016,0
2374,7/1/2016,0
2375,7/2/2016,0
2376,7/3/2016,0
2377,7/4/2016,0
2378,7/5/2016,0
2379,7/6/2016,0
2380,7/7/2016,0
2381,7/8/2016,0
2382,7/9/2016,0
2383,7/10/2016,0
2384,7/11/2016,0
2385,7/12/2016,0
2386,7/13/2016,0
2387,7/14/2016,0
2388,7/15/2016,0
2389,7/16/2016,0
2390,7/17/2016,0
2391,7/18/2016,0
2392,7/19/2016,0
2393,7/20/2016,0
2394,7/21/2016,0
2395,7/22/2016,0
2396,7/23/2016,0
2397,7/24/2016,0
2398,7/25/2016,0
2399,7/26/2016,0
2400,7/27/2016,0
2401,7/28/2016,0
2402,7/29/2016,0
2403,7/30/2016,0
2404,7/31/2016,0
2405,8/1/2016,0
2406,8/2/2016,0
2407,8/3/2016,0
2408,8/4/2016,0
2409,8/5/2016,0
2410,8/6/2016,0
2411,8/7/2016,0
2412,8/8/2016,0
2413,8/9/2016,0
2414,8/10/2016,0
2415,8/11/2016,0
2416,8/12/2016,0
2417,8/13/2016,0
2418,8/14/2016,0
2419,8/15/2016,0
2420,8/16/2016,0
2421,8/17/2016,0
2422,8/18/2016,0
2423,8/19/2016,0
2424,8/20/2016,0
2425,8/21/2016,0
2426,8/22/2016,0
2427,8/23/2016,0
2428,8/24/2016,0
2429,8/25/2016,0
2430,8/26/2016,0
2431,8/27/2016,0
2432,8/28/2016,0
2433,8/29/2016,0
2434,8/30/2016,0
2435,8/31/2016,0
2436,9/1/2016,0
2437,9/2/2016,0
2438,9/3/2016,0
2439,9/4/2016,0
2440,9/5/2016,0
2441,9/6/2016,0
2442,9/7/2016,0
2443,9/8/2016,0
2444,9/9/2016,0
2445,9/10/2016,0
2446,9/11/2016,0
2447,9/12/2016,0
2448,9/13/2016,0
2449,9/14/2016,0
2450,9/15/2016,0
2451,9/16/2016,0
2452,9/17/2016,0
2453,9/18/2016,0
2454,9/19/2016,0
2455,9/20/2016,0
2456,9/21/2016,0
2457,9/22/2016,0
2458,9/23/2016,0
2459,9/24/2016,0
2460,9/25/2016,0
2461,9/26/2016,0
2462,9/27/2016,0
2463,9/28/2016,0
2464,9/29/2016,0
2465,9/30/2016,0
2466,10/1/2016,0
2467,10/2/2016,0
2468,10/3/2016,0
2469,10/4/2016,0
2470,10/5/2016,0
2471,10/6/2016,0
2472,10/7/2016,0
2473,10/8/2016,0
2474,10/9/2016,0
2475,10/10/2016,0
2476,10/11/2016,0
2477,10/12/2016,0
2478,10/13/2016,0
2479,10/14/2016,0
2480,10/15/2016,0
2481,10/16/2016,0
2482,10/17/2016,0
2483,10/18/2016,0
2484,10/19/2016,0
2485,10/20/2016,0
2486,10/21/2016,0
2487,10/22/2016,0
2488,10/23/2016,0
2489,10/24/2016,0
2490,10/25/2016,0
2491,10/26/2016,0
2492,10/27/2016,0
2493,10/28/2016,0
2494,10/29/2016,0
2495,10/30/2016,0
2496,10/31/2016,0
2497,11/1/2016,0
2498,11/2/2016,0
2499,11/3/2016,0
2500,11/4/2016,0
2501,11/5/2016,0
2502,11/6/2016,0
2503,11/7/2016,0
2504,11/8/2016,0
2505,11/9/2016,0
2506,11/10/2016,0
2507,11/11/2016,0
2508,11/12/2016,0
2509,11/13/2016,0
2510,11/14/2016,0
2511,11/15/2016,0
2512,11/16/2016,0
2513,11/17/2016,0
2514,11/18/2016,0
2515,11/19/2016,0
2516,11/20/2016,0
2517,11/21/2016,0
2518,11/22/2016,0
2519,11/23/2016,0
2520,11/24/2016,0
2521,11/25/2016,0
2522,11/26/2016,0
2523,11/27/2016,0
2524,11/28/2016,0
2525,11/29/2016,0
2526,11/30/2016,0
2527,12/1/2016,0
2528,12/2/2016,0
2529,12/3/2016,0
2530,12/4/2016,0
2531,12/5/2016,0
2532,12/6/2016,0
2533,12/7/2016,0
2534,12/8/2016,0
2535,12/9/2016,0
2536,12/10/2016,0
2537,12/11/2016,0
2538,12/12/2016,0
2539,12/13/2016,0
2540,12/14/2016,0
2541,12/15/2016,0
2542,12/16/2016,0
2543,12/17/2016,0
2544,12/18/2016,0
2545,12/19/2016,0
2546,12/20/2016,0
2547,12/21/2016,0
2548,12/22/2016,0
2549,12/23/2016,0
2550,12/24/2016,0
2551,12/25/2016,0
2552,12/26/2016,0
2553,12/27/2016,0
2554,12/28/2016,0
2555,12/29/2016,0
2556,12/30/2016,0
2557,12/31/2016,0
2558,1/1/2017,0
2559,1/2/2017,0
2560,1/3/2017,0
2561,1/4/2017,0
2562,1/5/2017,0
2563,1/6/2017,0
2564,1/7/2017,0
2565,1/8/2017,0
2566,1/9/2017,0
2567,1/10/2017,0
2568,1/11/2017,0
2569,1/12/2017,0
2570,1/13/2017,0
2571,1/14/2017,0
2572,1/15/2017,0
2573,1/16/2017,0
2574,1/17/2017,0
2575,1/18/2017,0
2576,1/19/2017,0
2577,1/20/2017,0
2578,1/21/2017,0
2579,1/22/2017,0
2580,1/23/2017,0
2581,1/24/2017,0
2582,1/25/2017,0
2583,1/26/2017,0
2584,1/27/2017,0
2585,1/28/2017,0
2586,1/29/2017,0
2587,1/30/2017,0
2588,1/31/2017,0
2589,2/1/2017,0
2590,2/2/2017,0
2591,2/3/2017,0
2592,2/4/2017,0
2593,2/5/2017,0
2594,2/6/2017,0
2595,2/7/2017,0
2596,2/8/2017,0
2597,2/9/2017,0
2598,2/10/2017,0
2599,2/11/2017,0
2600,2/12/2017,0
2601,2/13/2017,0
2602,2/14/2017,0
2603,2/15/2017,0
2604,2/16/2017,0
2605,2/17/2017,0
2606,2/18/2017,0
2607,2/19/2017,0
2608,2/20/2017,0
2609,2/21/2017,0
2610,2/22/2017,0
2611,2/23/2017,0
2612,2/24/2017,0
2613,2/25/2017,0
2614,2/26/2017,0
2615,2/27/2017,0
2616,2/28/2017,0
2617,3/1/2017,0
2618,3/2/2017,0
2619,3/3/2017,0
2620,3/4/2017,0
2621,3/5/2017,0
2622,3/6/2017,0
2623,3/7/2017,0
2624,3/8/2017,0
2625,3/9/2017,0
2626,3/10/2017,0
